videoId,text_original
video123,This is an excellent tutorial! I learned so much about Python.
video123,Great explanation of the concepts. Very clear and concise.
video123,Could you make a follow-up video on advanced topics?
video123,Thanks for sharing this knowledge!
video456,I disagree with some of the points made here.
video456,This approach seems outdated. Are there modern alternatives?
video456,Interesting perspective but needs more depth.
video789,Absolutely loved this! Best video on the subject.
video789,The examples were really helpful for understanding.
video789,Can you provide the code samples used in the video?
video789,Subscribed! Looking forward to more content like this.
video101,Not what I expected based on the title.
video101,The audio quality could be better.
